schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Arizona,https://www.sports-reference.com/cbb/schools/arizona/1993.html,0,1993,28,24,4,0.857,20.5,8.28,17,1,,,,,2340,1998,,,0.424,0.231,0.562,55.8,57.4,,9.9,0.53,17.6,,0.29
Arkansas,https://www.sports-reference.com/cbb/schools/arkansas/1993.html,2,1993,31,22,9,0.71,17.72,8.3,10,6,,,,,2695,2403,,,0.354,0.261,0.566,45.6,58.5,,7.2,0.539,15.9,,0.243
Ball State,https://www.sports-reference.com/cbb/schools/ball-state/1993.html,0,1993,34,26,8,0.765,1.32,-4.68,14,4,,,,,2421,2185,,,0.487,0.21,0.549,53.3,55.6,,6.1,0.506,18.7,,0.339
Boise State,https://www.sports-reference.com/cbb/schools/boise-state/1993.html,0,1993,29,21,8,0.724,0.35,-4.28,10,4,,,,,2190,2020,,,0.428,0.234,0.547,49.4,54.2,,8.7,0.505,18.8,,0.307
Brigham Young,https://www.sports-reference.com/cbb/schools/brigham-young/1993.html,1,1993,34,25,9,0.735,12.49,4.08,15,3,,,,,2754,2445,,,0.477,0.233,0.589,54.6,64.7,,9,0.54,19.5,,0.366
University of California,https://www.sports-reference.com/cbb/schools/california/1993.html,2,1993,30,21,9,0.7,12.79,7.26,12,6,,,,,2380,2214,,,0.398,0.234,0.54,53.2,58.6,,8.1,0.509,18.4,,0.265
Chattanooga,https://www.sports-reference.com/cbb/schools/chattanooga/1993.html,0,1993,33,26,7,0.788,6.63,-3.06,16,2,,,,,2820,2385,,,0.384,0.299,0.579,52.3,55.2,,7.9,0.54,15.4,,0.289
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/1993.html,3,1993,32,27,5,0.844,22.62,6.62,8,2,,,,,2383,1871,,,0.347,0.258,0.535,53.2,57,,7.3,0.512,16.9,,0.222
Coastal Carolina,https://www.sports-reference.com/cbb/schools/coastal-carolina/1993.html,0,1993,32,22,10,0.688,-3.95,-7.89,12,4,,,,,2488,2268,,,0.387,0.258,0.563,50.5,53.9,,8.4,0.531,16.9,,0.272
Coppin State,https://www.sports-reference.com/cbb/schools/coppin-state/1993.html,0,1993,30,22,8,0.733,-3.73,-11.06,16,0,,,,,2216,1994,,,0.418,0.335,0.512,50.6,45.6,,8.1,0.465,16.9,,0.294
Delaware,https://www.sports-reference.com/cbb/schools/delaware/1993.html,0,1993,30,22,8,0.733,-0.63,-5.63,10,4,,,,,2244,2070,,,0.474,0.195,0.519,54.1,49,,9.5,0.471,18,,0.331
Duke,https://www.sports-reference.com/cbb/schools/duke/1993.html,1,1993,32,24,8,0.75,25.98,10.76,10,6,,,,,2766,2279,,,0.43,0.237,0.589,49.9,53.5,,9.7,0.554,16.6,,0.31
East Carolina,https://www.sports-reference.com/cbb/schools/east-carolina/1993.html,0,1993,30,13,17,0.433,-2.02,0.95,4,10,,,,,2037,2089,,,0.386,0.274,0.498,50.9,47.7,,5.9,0.465,17.3,,0.248
Evansville,https://www.sports-reference.com/cbb/schools/evansville/1993.html,0,1993,30,23,7,0.767,8.84,-0.88,12,2,,,,,2251,1960,,,0.465,0.269,0.583,51.2,63.2,,7.1,0.539,18.1,,0.347
Florida State,https://www.sports-reference.com/cbb/schools/florida-state/1993.html,3,1993,35,25,10,0.714,18.07,11.44,12,4,,,,,3020,2788,,,0.349,0.244,0.56,50.6,51,,11.6,0.535,17,,0.235
George Washington,https://www.sports-reference.com/cbb/schools/george-washington/1993.html,2,1993,30,21,9,0.7,11.57,4.27,8,6,,,,,2292,2073,,,0.482,0.246,0.525,52.7,46.2,,10.6,0.494,,,0.302
Georgia Tech,https://www.sports-reference.com/cbb/schools/georgia-tech/1993.html,0,1993,30,19,11,0.633,12.96,10.39,8,8,,,,,2331,2257,,,0.298,0.208,0.557,51.8,65,,10.2,0.534,18.8,,0.204
Holy Cross,https://www.sports-reference.com/cbb/schools/holy-cross/1993.html,0,1993,30,23,7,0.767,2.59,-5.04,12,2,,,,,2563,2334,,,0.456,0.226,0.562,48.2,60.6,,5.9,0.516,16.8,,0.336
Illinois,https://www.sports-reference.com/cbb/schools/illinois/1993.html,1,1993,32,19,13,0.594,11.83,9.27,11,7,,,,,2429,2347,,,0.409,0.235,0.555,52.1,56.6,,6.4,0.522,18.1,,0.282
Indiana,https://www.sports-reference.com/cbb/schools/indiana/1993.html,3,1993,35,31,4,0.886,25.84,11.09,17,1,,,,,3028,2506,,,0.459,0.225,0.603,52.1,57.6,,6,0.57,15.2,,0.329
Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/1993.html,0,1993,31,20,11,0.645,18.65,8.05,8,6,,,,,2520,2159,,,0.317,0.233,0.566,48.6,59.5,,5.4,0.531,16.6,,0.24
Iowa,https://www.sports-reference.com/cbb/schools/iowa/1993.html,1,1993,32,23,9,0.719,19.75,8.14,11,7,,,,,2507,2093,,,0.478,0.172,0.545,57.4,51.5,,11.8,0.5,17.5,,0.337
Kansas State,https://www.sports-reference.com/cbb/schools/kansas-state/1993.html,0,1993,30,19,11,0.633,9.85,6.91,7,7,,,,,2109,2009,,,0.331,0.265,0.517,53.7,58.5,,3.8,0.488,19,,0.221
Kansas,https://www.sports-reference.com/cbb/schools/kansas/1993.html,4,1993,36,29,7,0.806,22.3,10.88,11,3,,,,,3037,2510,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17,,0.28
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/1993.html,4,1993,34,30,4,0.882,26.91,9.23,13,3,,,,,2975,2374,,,0.359,0.395,0.582,54,63.5,,10.7,0.558,17.5,,0.247
Long Beach State,https://www.sports-reference.com/cbb/schools/long-beach-state/1993.html,0,1993,32,22,10,0.688,8.24,2.38,11,7,,,,,2512,2275,,,0.432,0.286,0.573,50.8,62.1,,4.7,0.54,18.8,,0.3
Louisiana-Monroe,https://www.sports-reference.com/cbb/schools/louisiana-monroe/1993.html,0,1993,31,26,5,0.839,7.66,-5.08,17,1,,,,,2702,2299,,,0.4,0.227,0.583,50.3,47.5,,6.1,0.566,15.6,,0.257
Louisiana State,https://www.sports-reference.com/cbb/schools/louisiana-state/1993.html,0,1993,33,22,11,0.667,10.25,5.28,9,7,,,,,2597,2433,,,0.35,0.244,0.517,51.7,52.2,,7.2,0.483,16.2,,0.239
Louisville,https://www.sports-reference.com/cbb/schools/louisville/1993.html,2,1993,31,22,9,0.71,14.65,8.85,11,1,,,,,2513,2293,,,0.399,0.246,0.574,52.3,56.7,,9.8,0.549,17.7,,0.267
Manhattan,https://www.sports-reference.com/cbb/schools/manhattan/1993.html,0,1993,30,23,7,0.767,3.15,-3.05,12,2,,,,,2194,2006,,,0.436,0.265,0.544,53.4,56,,6.2,0.511,19.8,,0.291
Marquette,https://www.sports-reference.com/cbb/schools/marquette/1993.html,0,1993,28,20,8,0.714,15.68,2.29,6,4,,,,,2067,1692,,,0.422,0.216,0.567,54.7,69.5,,10.4,0.524,17.4,,0.314
Massachusetts,https://www.sports-reference.com/cbb/schools/massachusetts/1993.html,1,1993,31,24,7,0.774,14.25,5.34,11,3,,,,,2262,1986,,,0.495,0.26,0.532,54.8,61.4,,10.9,0.485,2.3,,0.346
Memphis,https://www.sports-reference.com/cbb/schools/memphis/1993.html,0,1993,32,20,12,0.625,12.7,8.73,7,3,,,,,2402,2225,,,0.345,0.271,0.527,51,58.7,,10.3,0.497,17,,0.233
Michigan,https://www.sports-reference.com/cbb/schools/michigan/1993.html,5,1993,36,31,5,0.861,22.03,11.89,15,3,,,,,2950,2586,,,0.362,0.19,0.555,55.2,51.9,,11.4,0.532,17.4,,0.237
Missouri,https://www.sports-reference.com/cbb/schools/missouri/1993.html,0,1993,33,19,14,0.576,13.38,9.11,5,9,,,,,2452,2234,,,0.435,0.223,0.523,52.6,59.6,,7.7,0.499,16.6,,0.264
Nebraska,https://www.sports-reference.com/cbb/schools/nebraska/1993.html,0,1993,31,20,11,0.645,10.57,5.7,8,6,,,,,2497,2346,,,0.387,0.237,0.534,52.2,59.5,,9.3,0.5,18.8,,0.265
New Mexico State,https://www.sports-reference.com/cbb/schools/new-mexico-state/1993.html,1,1993,34,26,8,0.765,8.07,4.1,15,3,,,,,2615,2460,,,0.441,0.223,0.542,52.5,59.5,,6.4,0.504,17.5,,0.303
New Mexico,https://www.sports-reference.com/cbb/schools/new-mexico/1993.html,0,1993,31,24,7,0.774,8.96,3.3,13,5,,,,,2164,1960,,,0.365,0.364,0.549,49.7,58.5,,9.6,0.528,15.9,,0.232
New Orleans,https://www.sports-reference.com/cbb/schools/new-orleans/1993.html,0,1993,30,26,4,0.867,12,0.55,18,0,,,,,2175,1835,,,0.509,0.149,0.545,54.1,54.4,,11.8,0.505,18.7,,0.343
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/1993.html,6,1993,38,34,4,0.895,29.04,11.25,14,2,,,,,3272,2596,,,0.392,0.188,0.573,56.1,57.3,,8.8,0.541,16.9,,0.277
Oklahoma State,https://www.sports-reference.com/cbb/schools/oklahoma-state/1993.html,1,1993,29,20,9,0.69,14.62,9.9,8,6,,,,,2246,2003,,,0.474,0.215,0.584,55.7,64.3,,6.7,0.555,20.8,,0.319
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/1993.html,0,1993,27,22,5,0.815,6.27,-3.14,14,0,,,,,1950,1686,,,0.306,0.306,0.531,50.8,55.7,,8.3,0.507,14.7,,0.204
Pittsburgh,https://www.sports-reference.com/cbb/schools/pittsburgh/1993.html,0,1993,28,17,11,0.607,9.74,9.06,9,9,,,,,2163,2144,,,0.418,0.238,0.526,52.8,54.2,,8.8,0.492,18.1,,0.276
Purdue,https://www.sports-reference.com/cbb/schools/purdue/1993.html,0,1993,28,18,10,0.643,12.96,9.63,9,9,,,,,1986,1898,,,0.393,0.19,0.555,50.6,59.9,,5.3,0.519,18.8,,0.278
Rhode Island,https://www.sports-reference.com/cbb/schools/rhode-island/1993.html,1,1993,30,19,11,0.633,9.5,6.4,8,6,,,,,2317,2224,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324
